,0,ngram
"('museum', 'historic')",4,museum historic
"('historic', 'site')",4,historic site
"('society', 'preservation')",4,society preservation
"('inc', 'river')",4,inc river
"('inc', 'artist')",4,inc artist
"('art', 'cultural')",4,art cultural
"('fame', 'association')",4,fame association
"('inc', 'commemorative')",4,inc commemorative
"('guard', 'museum')",4,guard museum
"('community', 'art')",4,community art
"('engine', 'association')",4,engine association
"('railroad', 'depot')",4,railroad depot
"('inc', 'antique')",4,inc antique
"('foundation', 'corp')",4,foundation corp
"('automotive', 'heritage')",4,automotive heritage
"('school', 'hall')",4,school hall
"('botanical', 'society')",4,botanical society
"('national', 'guard')",4,national guard
"('museum', 'exhibit')",4,museum exhibit
"('area', 'history')",4,area history
"('inc', 'northeast')",4,inc northeast
"('family', 'association')",4,family association
"('inc', 'nfp')",4,inc nfp
"('western', 'heritage')",4,western heritage
"('local', 'history')",4,local history
"('discovery', 'science')",4,discovery science
"('franklin', 'county')",4,franklin county
"('inc', 'military')",4,inc military
"('marine', 'museum')",4,marine museum
"('spring', 'historical')",4,spring historical
"('york', 'county')",4,york county
"('inc', 'ohio')",4,inc ohio
"('international', 'inc')",4,international inc
"('old', 'town')",4,old town
"('madison', 'county')",4,madison county
"('time', 'museum')",4,time museum
"('museum', 'greater')",4,museum greater
"('foundation', 'oak')",4,foundation oak
"('friend', 'fort')",4,friend fort
"('museum', 'central')",4,museum central
"('american', 'cultural')",4,american cultural
"('inc', 'austin')",4,inc austin
"('community', 'garden')",4,community garden
"('st', 'joseph')",4,st joseph
"('park', 'garden')",4,park garden
"('foundation', 'old')",4,foundation old
"('county', 'antique')",4,county antique
"('society', 'north')",4,society north
"('school', 'house')",4,school house
"('chapter', 'inc')",4,chapter inc
"('grand', 'rapid')",4,grand rapid
"('inc', 'wing')",4,inc wing
"('baseball', 'museum')",4,baseball museum
"('greene', 'county')",4,greene county
"('jefferson', 'barrack')",4,jefferson barrack
"('house', 'association')",4,house association
"('american', 'art')",4,american art
"('inc', 'society')",4,inc society
"('force', 'museum')",3,force museum
"('foundation', 'california')",3,foundation california
"('austin', 'museum')",3,austin museum
"('museum', 'guild')",3,museum guild
"('jackson', 'museum')",3,jackson museum
"('valley', 'childrens')",3,valley childrens
"('museum', 'virginia')",3,museum virginia
"('society', 'kentucky')",3,society kentucky
"('de', 'moines')",3,de moines
"('inc', 'clark')",3,inc clark
"('heritage', 'hall')",3,heritage hall
"('gem', 'mineral')",3,gem mineral
"('wwii', 'museum')",3,wwii museum
"('railroader', 'association')",3,railroader association
"('army', 'republic')",3,army republic
"('country', 'music')",3,country music
"('woman', 'museum')",3,woman museum
"('inc', 'rock')",3,inc rock
"('inc', 'alabama')",3,inc alabama
"('national', 'center')",3,national center
"('rock', 'roll')",3,rock roll
"('inc', 'wayne')",3,inc wayne
"('south', 'florida')",3,south florida
"('american', 'association')",3,american association
"('exhibit', 'inc')",3,exhibit inc
"('inc', 'great')",3,inc great
"('inc', 'rhode')",3,inc rhode
"('inc', 'los')",3,inc los
"('monroe', 'county')",3,monroe county
"('inc', 'minnesota')",3,inc minnesota
"('tourism', 'foundation')",3,tourism foundation
"('grand', 'army')",3,grand army
"('museum', 'ceramic')",3,museum ceramic
"('daylily', 'society')",3,daylily society
"('masonic', 'museum')",3,masonic museum
"('theatre', 'inc')",3,theatre inc
"('foundation', 'historic')",3,foundation historic
"('museum', 'nfp')",3,museum nfp
"('museum', 'vintage')",3,museum vintage
"('antique', 'association')",3,antique association
"('bomb', 'group')",3,bomb group
"('historical', 'commission')",3,historical commission
"('inc', 'world')",3,inc world
"('inc', 'eddie')",3,inc eddie
"('group', 'friend')",3,group friend
"('san', 'antonio')",3,san antonio
"('museum', 'iowa')",3,museum iowa
"('lodge', 'foundation')",3,lodge foundation
"('red', 'river')",3,red river
"('friend', 'st')",3,friend st
"('railroad', 'preservation')",3,railroad preservation
"('harriet', 'tubman')",3,harriet tubman
"('muscle', 'car')",3,muscle car
"('rodeo', 'museum')",3,rodeo museum
"('flying', 'heritage')",3,flying heritage
"('america', 'museum')",3,america museum
"('miami', 'valley')",3,miami valley
"('santa', 'cruz')",3,santa cruz
"('negro', 'league')",3,negro league
"('league', 'baseball')",3,league baseball
"('living', 'museum')",3,living museum
"('historical', 'cultural')",3,historical cultural
"('museum', 'city')",3,museum city
"('social', 'justice')",3,social justice
"('rail', 'heritage')",3,rail heritage
"('foundation', 'north')",3,foundation north
"('california', 'wine')",3,california wine
"('inc', 'pioneer')",3,inc pioneer
"('west', 'texas')",3,west texas
"('creek', 'historical')",3,creek historical
"('museum', 'native')",3,museum native
"('brown', 'heritage')",3,brown heritage
"('life', 'inc')",3,life inc
"('inc', 'robert')",3,inc robert
"('naval', 'museum')",3,naval museum
"('foundation', 'franklin')",3,foundation franklin
"('memorial', 'committee')",3,memorial committee
"('museum', 'fire')",3,museum fire
"('community', 'hall')",3,community hall
"('inc', 'hollywood')",3,inc hollywood
"('police', 'historical')",3,police historical
"('antique', 'auto')",3,antique auto
"('foundation', 'new')",3,foundation new
"('inc', 'gordon')",3,inc gordon
"('wildlife', 'center')",3,wildlife center
"('museum', 'santa')",3,museum santa
"('inc', 'president')",3,inc president
"('inc', 'palm')",3,inc palm
"('inc', 'sculpture')",3,inc sculpture
"('society', 'east')",3,society east
"('grange', 'museum')",3,grange museum
"('inc', 'nashville')",3,inc nashville
"('nevada', 'state')",3,nevada state
"('west', 'inc')",3,west inc
"('society', 'history')",3,society history
"('st', 'francis')",3,st francis
"('public', 'safety')",3,public safety
"('historical', 'railway')",3,historical railway
"('valley', 'antique')",3,valley antique
"('inc', 'eastern')",3,inc eastern
"('technology', 'inc')",3,technology inc
"('educational', 'service')",3,educational service
"('industrial', 'heritage')",3,industrial heritage
"('home', 'museum')",3,home museum
"('center', 'association')",3,center association
"('inc', 'first')",3,inc first
"('inc', 'nevada')",3,inc nevada
"('inc', 'madison')",3,inc madison
"('hill', 'school')",3,hill school
"('inc', 'daniel')",3,inc daniel
"('colorado', 'spring')",3,colorado spring
"('experience', 'museum')",3,experience museum
"('art', 'alliance')",3,art alliance
"('inc', 'ancient')",3,inc ancient
"('regional', 'museum')",3,regional museum
